	start event	maximum event	finish event	min freq GHz	max freq GHz
0	02:07:41	08:02:23	08:08:36	3.2	23.84
	start event	maximum event	finish event	min freq GHz	max freq GHz
0	02:07:41	08:02:23	08:08:36	3.2	23.84
