	start event	maximum event	finish event	min freq GHz	max freq GHz
0	00:28:11	00:44:05	00:47:26	3.0	11.8
1	03:55:08	03:57:32	04:02:58	3.0	11.8
2	05:32:05	05:37:06	05:37:43	3.4	10.6
3	06:02:18	06:03:35	06:04:24	3.6	11.8
4	06:18:47	06:23:25	06:28:42	3.4	10.6
