	start event	maximum event	finish event	min freq GHz	max freq GHz
0	00:13:45	00:18:41	00:24:26	3.2	11.4
1	00:37:52	00:42:35	00:44:26	3.6	11.8
2	09:57:40	10:01:41	10:03:14	3.0	11.8
