	start event	maximum event	finish event	min freq GHz	max freq GHz
0	02:37:46	02:40:42	02:45:52	3.2	11.8
1	08:01:47	08:05:18	08:09:18	3.0	11.4
2	09:10:04	09:14:42	09:18:05	3.0	11.4
3	09:58:56	10:02:15	10:05:31	3.0	11.4
